tensor(290.1991, grad_fn=<AddBackward0>)
tensor(17.0967, grad_fn=<AddBackward0>)
tensor(18.5417, grad_fn=<AddBackward0>)
tensor(17.3041, grad_fn=<AddBackward0>)
tensor(18.5238, grad_fn=<AddBackward0>)
tensor(20.1824, grad_fn=<AddBackward0>)
tensor(18.8313, grad_fn=<AddBackward0>)
tensor(17.2824, grad_fn=<AddBackward0>)
tensor(22.2905, grad_fn=<AddBackward0>)
tensor(20.5619, grad_fn=<AddBackward0>)
tensor(18.8766, grad_fn=<AddBackward0>)
tensor(22.0194, grad_fn=<AddBackward0>)
tensor(21.2203, grad_fn=<AddBackward0>)
tensor(19.5753, grad_fn=<AddBackward0>)
tensor(19.9659, grad_fn=<AddBackward0>)
tensor(18.6309, grad_fn=<AddBackward0>)
tensor(18.4279, grad_fn=<AddBackward0>)
tensor(20.2116, grad_fn=<AddBackward0>)
tensor(19.6007, grad_fn=<AddBackward0>)
tensor(17.3163, grad_fn=<AddBackward0>)
tensor(16.8245, grad_fn=<AddBackward0>)
tensor(18.0417, grad_fn=<AddBackward0>)
tensor(17.1230, grad_fn=<AddBackward0>)
tensor(20.3497, grad_fn=<AddBackward0>)
tensor(17.7786, grad_fn=<AddBackward0>)
tensor(17.0663, grad_fn=<AddBackward0>)
tensor(17.1626, grad_fn=<AddBackward0>)
tensor(20.8684, grad_fn=<AddBackward0>)
tensor(18.8287, grad_fn=<AddBackward0>)
tensor(16.2267, grad_fn=<AddBackward0>)
tensor(15.5212, grad_fn=<AddBackward0>)
tensor(16.8484, grad_fn=<AddBackward0>)
tensor(20.8180, grad_fn=<AddBackward0>)
tensor(15.3312, grad_fn=<AddBackward0>)
tensor(14.0750, grad_fn=<AddBackward0>)
tensor(15.2186, grad_fn=<AddBackward0>)
tensor(15.3755, grad_fn=<AddBackward0>)
tensor(17.6963, grad_fn=<AddBackward0>)
tensor(13.1845, grad_fn=<AddBackward0>)
tensor(14.7058, grad_fn=<AddBackward0>)
tensor(13.8898, grad_fn=<AddBackward0>)
tensor(15.0749, grad_fn=<AddBackward0>)
tensor(16.9901, grad_fn=<AddBackward0>)
tensor(13.3501, grad_fn=<AddBackward0>)
tensor(12.4948, grad_fn=<AddBackward0>)
tensor(12.2265, grad_fn=<AddBackward0>)
tensor(11.8643, grad_fn=<AddBackward0>)
tensor(13.2370, grad_fn=<AddBackward0>)
tensor(12.7800, grad_fn=<AddBackward0>)
tensor(11.6712, grad_fn=<AddBackward0>)
tensor(12.2955, grad_fn=<AddBackward0>)
tensor(14.1531, grad_fn=<AddBackward0>)
tensor(14.7294, grad_fn=<AddBackward0>)
tensor(17.0268, grad_fn=<AddBackward0>)
tensor(12.2115, grad_fn=<AddBackward0>)
tensor(14.9640, grad_fn=<AddBackward0>)
tensor(12.7253, grad_fn=<AddBackward0>)
tensor(17.0458, grad_fn=<AddBackward0>)
tensor(11.0179, grad_fn=<AddBackward0>)
tensor(11.7466, grad_fn=<AddBackward0>)
tensor(12.3444, grad_fn=<AddBackward0>)
tensor(10.5280, grad_fn=<AddBackward0>)
tensor(10.8340, grad_fn=<AddBackward0>)
tensor(11.5769, grad_fn=<AddBackward0>)
tensor(12.5818, grad_fn=<AddBackward0>)
tensor(11.8768, grad_fn=<AddBackward0>)
tensor(10.2284, grad_fn=<AddBackward0>)
tensor(11.5194, grad_fn=<AddBackward0>)
tensor(10.9116, grad_fn=<AddBackward0>)
tensor(10.5178, grad_fn=<AddBackward0>)
tensor(13.3886, grad_fn=<AddBackward0>)
tensor(10.9883, grad_fn=<AddBackward0>)
tensor(10.9996, grad_fn=<AddBackward0>)
tensor(13.4584, grad_fn=<AddBackward0>)
tensor(9.6600, grad_fn=<AddBackward0>)
tensor(13.3215, grad_fn=<AddBackward0>)
tensor(11.3286, grad_fn=<AddBackward0>)
tensor(10.2936, grad_fn=<AddBackward0>)
tensor(9.3244, grad_fn=<AddBackward0>)
tensor(10.2916, grad_fn=<AddBackward0>)
tensor(10.1471, grad_fn=<AddBackward0>)
tensor(9.9953, grad_fn=<AddBackward0>)
tensor(10.3024, grad_fn=<AddBackward0>)
tensor(10.8619, grad_fn=<AddBackward0>)
tensor(10.7936, grad_fn=<AddBackward0>)
tensor(10.6576, grad_fn=<AddBackward0>)
tensor(10.4095, grad_fn=<AddBackward0>)
tensor(9.2188, grad_fn=<AddBackward0>)
tensor(9.0088, grad_fn=<AddBackward0>)
tensor(11.6860, grad_fn=<AddBackward0>)
tensor(11.3194, grad_fn=<AddBackward0>)
tensor(11.2852, grad_fn=<AddBackward0>)
tensor(8.7393, grad_fn=<AddBackward0>)
tensor(10.0298, grad_fn=<AddBackward0>)
tensor(10.6058, grad_fn=<AddBackward0>)
tensor(8.0020, grad_fn=<AddBackward0>)
tensor(10.1031, grad_fn=<AddBackward0>)
tensor(10.4609, grad_fn=<AddBackward0>)
tensor(9.2072, grad_fn=<AddBackward0>)
tensor(11.6771, grad_fn=<AddBackward0>)
tensor(10.2456, grad_fn=<AddBackward0>)
